symbol,momentum_1m,momentum_3m,momentum_6m,volume_increase,above_ma,volatility,momentum_1m_contribution,momentum_3m_contribution,momentum_6m_contribution,volume_increase_contribution,above_ma_contribution,volatility_penalty_contribution,score,rank,model,momentum_1m_relative_contribution,momentum_3m_relative_contribution,momentum_6m_relative_contribution,volume_increase_relative_contribution,above_ma_relative_contribution,volatility_penalty_relative_contribution,expected_return_low,expected_return_mid,expected_return_high,snapshot_date,benchmark_date,policy,regime_status,bist100_close,bist100_ma200,bist100_below_ma200,active_model,active_portfolio_size,recommended,action,confidence_score,snapshot_month,min_buy_expected_return,opportunity_filter_percentile,opportunity_threshold
EREGL.IS,0.0474308795789206,0.2745110090474421,0.5403768903816819,-0.1212210314564358,1.0,0.0278304305933973,0.1323529411764706,0.2,0.15,0.0617647058823529,0.0941176470588235,0.0147058823529411,0.6529411764705882,5,volume_heavy,0.2027027027027027,0.3063063063063063,0.2297297297297297,0.0945945945945946,0.1441441441441441,0.0225225225225225,-0.0603687118615568,-0.0181818861523047,0.0613531469582715,2026-07-30 00:00:00,2026-07-31,defensive_mode,ABOVE_MA200_RISK_ON,13458.099609375,12915.859038085937,False,volume_heavy,10,True,SELL,61.8,2026-07,0.0,0.5,0.0124186871347501
KCHOL.IS,-0.0103359173126614,-0.0533860745864381,-0.0140935090546813,0.0901036718581957,0.5,0.0208004752934908,0.1147058823529411,0.1529411764705882,0.088235294117647,0.1647058823529411,0.0764705882352941,0.038235294117647,0.6352941176470589,6,volume_heavy,0.1805555555555555,0.2407407407407407,0.1388888888888889,0.2592592592592592,0.1203703703703703,0.0601851851851851,-0.0083587023213938,0.0185279555776163,0.0757754432413195,2026-07-30 00:00:00,2026-07-31,defensive_mode,ABOVE_MA200_RISK_ON,13458.099609375,12915.859038085937,False,volume_heavy,10,True,BUY,61.8,2026-07,0.0,0.5,0.0124186871347501
TCELL.IS,-0.0549348365182029,-0.0945584176485797,-0.1242450503563071,0.1718750834952389,0.0,0.0224080999198345,0.0794117647058823,0.1176470588235294,0.0705882352941176,0.288235294117647,0.0352941176470588,0.0264705882352941,0.6176470588235294,7,volume_heavy,0.1285714285714285,0.1904761904761905,0.1142857142857142,0.4666666666666666,0.0571428571428571,0.0428571428571428,-0.0616850558301536,-0.0232805184548855,0.0289374356535263,2026-07-30 00:00:00,2026-07-31,defensive_mode,ABOVE_MA200_RISK_ON,13458.099609375,12915.859038085937,False,volume_heavy,10,True,SELL,61.8,2026-07,0.0,0.5,0.0124186871347501
PETKM.IS,-0.0052328821703729,-0.2340853963488951,0.0439319706002252,0.1814697435180641,0.0,0.0306564067578824,0.1235294117647058,0.0117647058823529,0.1147058823529411,0.3088235294117646,0.0352941176470588,0.0058823529411764,0.5999999999999999,8,volume_heavy,0.2058823529411765,0.0196078431372549,0.1911764705882353,0.5147058823529412,0.0588235294117647,0.0098039215686274,-0.0508068399973923,0.0,0.0558282141107764,2026-07-30 00:00:00,2026-07-31,defensive_mode,ABOVE_MA200_RISK_ON,13458.099609375,12915.859038085937,False,volume_heavy,10,True,HOLD,61.8,2026-07,0.0,0.5,0.0124186871347501
TOASO.IS,-0.1542207792207792,-0.122156697556866,-0.1125098472095682,0.1544275616634598,0.0,0.0261229653188725,0.0352941176470588,0.1058823529411764,0.0794117647058823,0.2264705882352941,0.0352941176470588,0.0176470588235294,0.4999999999999999,9,volume_heavy,0.0705882352941176,0.211764705882353,0.1588235294117647,0.4529411764705883,0.0705882352941176,0.0352941176470588,-0.0713413679291167,0.0050933786078097,0.1023869095225903,2026-07-30 00:00:00,2026-07-31,defensive_mode,ABOVE_MA200_RISK_ON,13458.099609375,12915.859038085937,False,volume_heavy,10,True,HOLD,61.8,2026-07,0.0,0.5,0.0124186871347501
YKBNK.IS,-0.2277030276190168,-0.1520788064672471,-0.1798941633415053,0.3681799662578611,0.0,0.0290376821986274,0.0088235294117647,0.0705882352941176,0.0441176470588235,0.3294117647058823,0.0352941176470588,0.0088235294117647,0.4970588235294118,10,volume_heavy,0.0177514792899408,0.1420118343195266,0.0887573964497041,0.6627218934911242,0.0710059171597633,0.0177514792899408,-0.0871211981752482,0.0238095584443063,0.0792953142437882,2026-07-30 00:00:00,2026-07-31,defensive_mode,ABOVE_MA200_RISK_ON,13458.099609375,12915.859038085937,False,volume_heavy,10,True,BUY,61.8,2026-07,0.0,0.5,0.0124186871347501
GARAN.IS,-0.1079710255498471,-0.0723436224182088,-0.1478736507352386,-0.0184836527725801,0.0,0.0221556678262783,0.0529411764705882,0.1411764705882353,0.0617647058823529,0.1029411764705882,0.0352941176470588,0.0294117647058823,0.4235294117647059,11,volume_heavy,0.1249999999999999,0.3333333333333333,0.1458333333333333,0.2430555555555555,0.0833333333333333,0.0694444444444444,-0.095219456003436,0.0156795465450354,0.1050978141702309,2026-07-30 00:00:00,2026-07-31,defensive_mode,ABOVE_MA200_RISK_ON,13458.099609375,12915.859038085937,False,volume_heavy,10,False,EXCLUDE,61.8,2026-07,0.0,0.5,0.0124186871347501
SAHOL.IS,-0.1558974045973558,-0.1440457436747242,-0.2066204726021715,0.1007071692957457,0.0,0.0216767047470469,0.0264705882352941,0.0823529411764705,0.0352941176470588,0.1852941176470588,0.0352941176470588,0.0352941176470588,0.3999999999999999,12,volume_heavy,0.0661764705882353,0.2058823529411765,0.088235294117647,0.4632352941176471,0.088235294117647,0.088235294117647,-0.0962369444420798,-0.0016722575212708,0.0295336639083942,2026-07-30 00:00:00,2026-07-31,defensive_mode,ABOVE_MA200_RISK_ON,13458.099609375,12915.859038085937,False,volume_heavy,10,False,SELL,61.8,2026-07,0.0,0.5,0.0124186871347501
SISE.IS,-0.0668171362404083,-0.087243105240541,0.0061819138307206,-0.186407435530273,0.0,0.0253707760054063,0.0705882352941176,0.1294117647058823,0.0970588235294117,0.0411764705882352,0.0352941176470588,0.0205882352941176,0.3941176470588235,13,volume_heavy,0.1791044776119403,0.3283582089552239,0.2462686567164179,0.1044776119402985,0.0895522388059701,0.0522388059701492,-0.0672040499421722,0.0287515535773972,0.1227776756818872,2026-07-30 00:00:00,2026-07-31,defensive_mode,ABOVE_MA200_RISK_ON,13458.099609375,12915.859038085937,False,volume_heavy,10,False,EXCLUDE,61.8,2026-07,0.0,0.5,0.0124186871347501
ARCLK.IS,-0.02466026155884,-0.1371326901815062,-0.1499999866150972,-0.2155723042208104,0.0,0.015715253363987,0.0970588235294117,0.0941176470588235,0.0529411764705882,0.0205882352941176,0.0352941176470588,0.05,0.35,14,volume_heavy,0.2773109243697479,0.2689075630252101,0.1512605042016807,0.0588235294117647,0.1008403361344538,0.1428571428571428,-0.0308705979295856,0.1196572855882683,0.220332170296256,2026-07-30 00:00:00,2026-07-31,defensive_mode,ABOVE_MA200_RISK_ON,13458.099609375,12915.859038085937,False,volume_heavy,10,False,EXCLUDE,61.8,2026-07,0.0,0.5,0.0124186871347501
