model,period,portfolio_size,transaction_cost,strategy,months,strategy_total_return,bist100_total_return,excess_return_over_benchmark,avg_monthly_return,strategy_max_drawdown,bist100_max_drawdown,win_rate,selection_score,best_month,best_month_return,worst_month,worst_month_return
volume_heavy,out_of_sample,10,0.002,top_10,31,0.4595282023375642,0.7017284489818203,-0.2422002466442561,0.015124721079804695,-0.21304357702053167,-0.1675447420399082,0.5161290322580645,-0.4102228845562872,2025-12-31,0.24068889351107292,2024-09-30,-0.11529752360723806
volume_heavy,out_of_sample,15,0.002,top_15,31,0.5447076702930753,0.7017284489818203,-0.15702077868874498,0.01644615837498979,-0.1745562445365465,-0.1675447420399082,0.6129032258064516,-0.19968165485861217,2025-12-31,0.21831432084035002,2024-09-30,-0.09244943911927007
volume_heavy,train,3,0.002,top_3,43,1.2412099226560898,1.075422626952499,0.16578729570359085,0.02277119529920052,-0.37584291966602,-0.24757740982109966,0.6511627906976745,-0.26031714827961194,2020-11-30,0.18995542458097323,2020-02-29,-0.24928421672750553
volume_heavy,train,5,0.002,top_5,43,1.7053480191325123,1.075422626952499,0.6299253921800134,0.0263526122682299,-0.2671535490028756,-0.24757740982109966,0.6744186046511628,0.43282759649984365,2021-10-31,0.2163211736088791,2020-02-29,-0.19728236465748986
volume_heavy,train,10,0.002,top_10,43,2.00445686343189,1.075422626952499,0.9290342364793909,0.02890376320869199,-0.22854492285258732,-0.24757740982109966,0.6511627906976745,0.7975257861230535,2021-10-31,0.22028046810523935,2020-02-29,-0.15370078423814093
volume_heavy,train,15,0.002,top_15,43,1.573638836549788,1.075422626952499,0.4982162095972891,0.02565160859477008,-0.2595727773807235,-0.24757740982109966,0.5813953488372093,0.26976832925444677,2021-10-31,0.22235820451517163,2020-02-29,-0.17266680769287424
volume_heavy,validation,3,0.002,top_3,24,3.384406031339397,3.2415637612067236,0.14284227013267348,0.070224047489736,-0.11786428346734812,-0.1617839465479347,0.625,0.21961370319797724,2023-05-31,0.28447154375881345,2022-08-31,-0.09901311803548037
volume_heavy,validation,5,0.002,top_5,24,3.0591590289791553,3.2415637612067236,-0.18240473222756837,0.06645706076212314,-0.10994823235308926,-0.1617839465479347,0.625,-0.08980119693374689,2023-05-31,0.2691950581620724,2023-09-30,-0.10994823235308926
volume_heavy,validation,10,0.002,top_10,24,3.700191242032984,3.2415637612067236,0.4586274808262605,0.0723809416280708,-0.13430999813534938,-0.1617839465479347,0.6666666666666666,0.523340817888895,2022-09-30,0.26565512617676124,2023-09-30,-0.11119853151846608
volume_heavy,validation,15,0.002,top_15,24,3.9107483659510187,3.2415637612067236,0.6691846047442951,0.07395721973029344,-0.09063055649774499,-0.1617839465479347,0.6666666666666666,0.8212568250821384,2023-06-30,0.2764430000513675,2023-09-30,-0.09063055649774507
