model,period,portfolio_size,transaction_cost,selection_score,strategy_total_return,bist100_total_return,excess_return_over_benchmark,strategy_max_drawdown,bist100_max_drawdown,win_rate
mixed_model,out_of_sample,5,0.002,-0.4555148845162409,0.2992586317952144,0.6240272625659802,-0.3247686307707658,-0.19440538493725368,-0.1675447420399082,0.5161290322580645
mixed_model,out_of_sample,10,0.002,-0.2940956470682907,0.4660679188254797,0.6240272625659802,-0.15795934374050047,-0.19710040972841125,-0.1675447420399082,0.5161290322580645
mixed_model,out_of_sample,15,0.002,-0.02494102487923583,0.6215298373596221,0.6240272625659802,-0.002497425206358095,-0.16444760628805177,-0.1675447420399082,0.6129032258064516
mixed_model,train,3,0.002,-0.4008580790308546,1.0516670720808023,1.075422626952499,-0.02375555487169656,-0.3455280062656255,-0.24757740982109966,0.627906976744186
mixed_model,train,5,0.002,1.055919542275889,2.28452553431322,1.075422626952499,1.209102907360721,-0.24519633370520666,-0.24757740982109966,0.6744186046511628
mixed_model,train,10,0.002,0.5187427041209408,1.7598799645033112,1.075422626952499,0.6844573375508123,-0.24564801438935435,-0.24757740982109966,0.6511627906976745
mixed_model,train,15,0.002,0.2567217904530813,1.5425649891680866,1.075422626952499,0.4671423622155877,-0.2563730765789276,-0.24757740982109966,0.6046511627906976
mixed_model,validation,3,0.002,1.3915853111798875,4.533458337189615,3.2415637612067236,1.2918945759828917,-0.11682129906816874,-0.1617839465479347,0.6666666666666666
mixed_model,validation,5,0.002,1.6546955714329428,4.795450196526275,3.2415637612067236,1.5538864353195514,-0.10584543194330431,-0.1617839465479347,0.625
mixed_model,validation,10,0.002,0.701763754134574,3.856381207752114,3.2415637612067236,0.6148174465453904,-0.1231935128720748,-0.1617839465479347,0.6666666666666666
mixed_model,validation,15,0.002,0.41288830301454277,3.5334038940710775,3.2415637612067236,0.29184013286435384,-0.1061425815915722,-0.1617839465479347,0.6666666666666666
momentum_heavy,out_of_sample,3,0.002,-0.12112032467916073,0.5446584618478232,0.6240272625659802,-0.079368800718157,-0.16603705230308252,-0.1675447420399082,0.5806451612903226
momentum_heavy,out_of_sample,5,0.002,-0.46053403996953435,0.2920197739895851,0.6240272625659802,-0.33200748857639506,-0.20136004989011802,-0.1675447420399082,0.5483870967741935
momentum_heavy,out_of_sample,10,0.002,-0.34477503893715467,0.4344835070673114,0.6240272625659802,-0.18954375549866875,-0.20664789978375908,-0.1675447420399082,0.5161290322580645
momentum_heavy,out_of_sample,15,0.002,-0.033022951858006466,0.6205466653528495,0.6240272625659802,-0.003480597213130654,-0.1679969837740508,-0.1675447420399082,0.6129032258064516
momentum_heavy,train,3,0.002,-0.2899836200728497,1.1358885610051153,1.075422626952499,0.060465934052616355,-0.33801547473715166,-0.24757740982109966,0.6511627906976745
momentum_heavy,train,5,0.002,0.7223001801330157,1.9625340791470904,1.075422626952499,0.8871114521945915,-0.24519633370520655,-0.24757740982109966,0.6511627906976745
momentum_heavy,train,10,0.002,0.42329432968490754,1.6539920715676377,1.075422626952499,0.5785694446151388,-0.24042825513953425,-0.24757740982109966,0.6511627906976745
momentum_heavy,train,15,0.002,0.3405015868321587,1.6263447855471638,1.075422626952499,0.5509221585946649,-0.2563730765789275,-0.24757740982109966,0.6046511627906976
momentum_heavy,validation,3,0.002,1.618092204857091,4.780798564200152,3.2415637612067236,1.5392348029934286,-0.11682129906816885,-0.1617839465479347,0.625
