section,model,bucket,count,average_next_month_return,median_next_month_return,win_rate,average_excess_return,factor,pearson_corr,spearman_corr,label,win_rate_vs_bist100,cagr,bist100_cagr,excess_cagr,max_drawdown,portfolio,top_decile_capture,top_two_decile_capture,top3_capture,top5_capture,average_pre_move_rank,top_bottom_spread,top_quintile_return,bottom_quintile_return
rank_bucket,momentum_heavy,9.0,192,0.04305640823996262,0.03383647272661083,0.6302083333333334,0.011505446115762737,,,,,,,,,,,,,,,,,,
rank_bucket,momentum_heavy,10.0,192,0.0394891888954006,0.02544657223133462,0.5729166666666666,0.007938226771200723,,,,,,,,,,,,,,,,,,
rank_bucket,trend_following,1.0,192,0.040227295246300115,0.024973042168136117,0.5677083333333334,0.008676333122100234,,,,,,,,,,,,,,,,,,
rank_bucket,trend_following,2.0,192,0.03371823725499592,0.018465026902895865,0.5885416666666666,0.002167275130796037,,,,,,,,,,,,,,,,,,
rank_bucket,trend_following,3.0,96,0.04206236242775938,0.03131256819121908,0.6354166666666666,0.010511400303559496,,,,,,,,,,,,,,,,,,
rank_bucket,trend_following,4.0,192,0.04151197532891628,0.023450017736232676,0.578125,0.0099610132047164,,,,,,,,,,,,,,,,,,
rank_bucket,trend_following,5.0,192,0.029423458917471945,0.019376044307959694,0.546875,-0.0021275032067279397,,,,,,,,,,,,,,,,,,
rank_bucket,trend_following,6.0,96,0.0337348428413006,0.018782262731531274,0.5833333333333334,0.0021838807171007204,,,,,,,,,,,,,,,,,,
rank_bucket,trend_following,7.0,192,0.038264012886028716,0.029998205197650063,0.609375,0.006713050761828834,,,,,,,,,,,,,,,,,,
rank_bucket,trend_following,8.0,96,0.0387929183049237,0.022810447961358782,0.5833333333333334,0.0072419561807238126,,,,,,,,,,,,,,,,,,
rank_bucket,trend_following,9.0,192,0.04268388053132938,0.03383647272661083,0.6354166666666666,0.0111329184071295,,,,,,,,,,,,,,,,,,
rank_bucket,trend_following,10.0,192,0.03888361525484287,0.02480813046755659,0.5572916666666666,0.007332653130642992,,,,,,,,,,,,,,,,,,
rank_bucket,volume_heavy,1.0,192,0.04177912133474861,0.028076730227247215,0.59375,0.01022815921054873,,,,,,,,,,,,,,,,,,
rank_bucket,volume_heavy,2.0,192,0.032444670330687854,0.01497908372218526,0.5677083333333334,0.0008937082064879766,,,,,,,,,,,,,,,,,,
rank_bucket,volume_heavy,3.0,96,0.039544376114230055,0.02949830352525018,0.6145833333333334,0.007993413990030174,,,,,,,,,,,,,,,,,,
rank_bucket,volume_heavy,4.0,192,0.03954643828367876,0.030287946392230647,0.625,0.007995476159478874,,,,,,,,,,,,,,,,,,
rank_bucket,volume_heavy,5.0,192,0.045341004972404834,0.03172811708597556,0.6041666666666666,0.013790042848204951,,,,,,,,,,,,,,,,,,
rank_bucket,volume_heavy,6.0,96,0.04478598807211126,0.04743337134123171,0.625,0.013235025947911367,,,,,,,,,,,,,,,,,,
rank_bucket,volume_heavy,7.0,192,0.03570215578845937,0.019157617200662447,0.5364583333333334,0.0041511936642594826,,,,,,,,,,,,,,,,,,
rank_bucket,volume_heavy,8.0,96,0.035880466390130546,0.029156207980166937,0.625,0.004329504265930663,,,,,,,,,,,,,,,,,,
rank_bucket,volume_heavy,9.0,192,0.026488770130121908,0.008814409399056977,0.5208333333333334,-0.005062191994077974,,,,,,,,,,,,,,,,,,
rank_bucket,volume_heavy,10.0,192,0.04059996107853981,0.02848807230083561,0.6041666666666666,0.00904899895433993,,,,,,,,,,,,,,,,,,
rank_bucket_all_models,ALL,1.0,960,0.04197191929308783,0.02510127820806307,0.575,0.010420957168887945,,,,,,,,,,,,,,,,,,
rank_bucket_all_models,ALL,2.0,960,0.03593793479269917,0.019818305116646062,0.5947916666666667,0.004386972668499284,,,,,,,,,,,,,,,,,,
rank_bucket_all_models,ALL,3.0,480,0.04107964889711423,0.03306154145304774,0.6020833333333333,0.009528686772914352,,,,,,,,,,,,,,,,,,
rank_bucket_all_models,ALL,4.0,960,0.037644309099498514,0.02586210900758279,0.5875,0.006093346975298632,,,,,,,,,,,,,,,,,,
rank_bucket_all_models,ALL,5.0,960,0.03615178869944806,0.02244461863263414,0.575,0.004600826575248177,,,,,,,,,,,,,,,,,,
rank_bucket_all_models,ALL,6.0,480,0.04047119488016223,0.03162406481075175,0.6041666666666666,0.008920232755962345,,,,,,,,,,,,,,,,,,
