policy,base_model,base_portfolio_size,period,months,bear_months,avg_exposure,total_return,bist100_total_return,excess_return_vs_bist100,max_drawdown,bist100_max_drawdown,win_rate,robustness_score
baseline,volume_heavy,3,train,39,12,1.0,1.3921605587198886,1.2208251837732145,0.17133537494667417,-0.37584286487296936,-0.24757740982109977,0.6666666666666666,-0.24701702146593124
baseline,volume_heavy,3,validation,24,0,1.0,3.384405549847518,3.2415637612067236,0.14284178864079422,-0.11786428057324316,-0.1617839465479347,0.625,0.2196132274943079
baseline,volume_heavy,5,out_of_sample,32,7,1.0,0.22031356640216604,0.590013878393095,-0.369700311990929,-0.2207127685576873,-0.1675447420399082,0.5625,-0.5298758491063036
baseline,volume_heavy,5,train,39,12,1.0,1.8482046022826912,1.2208251837732145,0.6273794185094768,-0.26715352912154555,-0.24757740982109977,0.6666666666666666,0.42640569359971897
baseline,volume_heavy,5,validation,24,0,1.0,3.0591585902708234,3.2415637612067236,-0.18240517093590025,-0.10994832620078976,-0.1617839465479347,0.625,-0.08980182333747977
baseline,volume_heavy,10,out_of_sample,32,7,1.0,0.389081505038849,0.590013878393095,-0.20093237335424607,-0.21304356962124282,-0.1675447420399082,0.5,-0.3770195125967317
baseline,volume_heavy,10,train,39,12,1.0,2.2143563792770995,1.2208251837732145,0.993531195503885,-0.2285448810549915,-0.24757740982109977,0.6410256410256411,0.8569542539067225
baseline,volume_heavy,10,validation,24,0,1.0,3.7001910589818108,3.2415637612067236,0.45862729777508715,-0.13430994049284062,-0.1617839465479347,0.6666666666666666,0.5233407501227392
baseline,volume_heavy,15,out_of_sample,32,7,1.0,0.4975691973374723,0.590013878393095,-0.09244468105562276,-0.17455627843382648,-0.1675447420399082,0.59375,-0.14468223792327572
baseline,volume_heavy,15,train,39,12,1.0,1.8477055037635486,1.2208251837732145,0.6268803199903341,-0.2595727680833787,-0.24757740982109977,0.6153846153846154,0.4154270915158844
baseline,volume_heavy,15,validation,24,0,1.0,3.910748632348321,3.2415637612067236,0.6691848711415975,-0.09063057819753262,-0.1617839465479347,0.6666666666666666,0.8212570480798655
cash_mode,low_volatility,3,out_of_sample,32,7,1.0,0.24950558282557367,0.590013878393095,-0.3405082955675214,-0.2582241404288532,-0.1675447420399082,0.40625,-0.6538315764252278
cash_mode,low_volatility,3,train,39,12,1.0,0.5539050141494046,1.2208251837732145,-0.6669201696238098,-0.19004240175303322,-0.24757740982109977,0.41025641025641024,-0.8418767680016712
cash_mode,low_volatility,3,validation,24,0,1.0,4.153851646311168,3.2415637612067236,0.912287885104444,-0.10623607070751806,-0.1617839465479347,0.6666666666666666,1.0331490770227412
cash_mode,low_volatility,5,out_of_sample,32,7,1.0,0.1728338662253619,0.590013878393095,-0.41718001216773315,-0.2890961994096166,-0.1675447420399082,0.375,-0.8078724109869664
cash_mode,low_volatility,5,train,39,12,1.0,0.34960880286098406,1.2208251837732145,-0.8712163809122304,-0.2625792325604084,-0.24757740982109977,0.358974358974359,-1.2168876665458677
cash_mode,low_volatility,5,validation,24,0,1.0,4.3503160434110555,3.2415637612067236,1.1087522822043319,-0.11155258237681942,-0.1617839465479347,0.7083333333333334,1.2398137841173598
cash_mode,low_volatility,10,out_of_sample,32,7,1.0,0.17137239503902268,0.590013878393095,-0.41864148335407236,-0.1848122689670636,-0.1675447420399082,0.375,-0.6007660212881996
cash_mode,low_volatility,10,train,39,12,1.0,0.48062983242306134,1.2208251837732145,-0.7401953513501531,-0.22565620551200316,-0.24757740982109977,0.3333333333333333,-1.0248410957074927
cash_mode,low_volatility,10,validation,24,0,1.0,3.842829867273597,3.2415637612067236,0.6012661060668734,-0.10463179006203294,-0.1617839465479347,0.6666666666666666,0.7253358592761407
cash_mode,low_volatility,15,out_of_sample,32,7,1.0,0.2816745145342263,0.590013878393095,-0.30833936385886873,-0.19109997065351547,-0.1675447420399082,0.40625,-0.4874143051658997
cash_mode,low_volatility,15,train,39,12,1.0,0.39946731422699466,1.2208251837732145,-0.8213578695462198,-0.24569923103666425,-0.24757740982109977,0.38461538461538464,-1.120448639311856
cash_mode,low_volatility,15,validation,24,0,1.0,3.5934105015083277,3.2415637612067236,0.3518467403016041,-0.10263767867865359,-0.1617839465479347,0.6666666666666666,0.47990471627763026
cash_mode,mixed_model,3,out_of_sample,32,7,1.0,0.17859729978630345,0.590013878393095,-0.4114165786067916,-0.2511786829510436,-0.1675447420399082,0.40625,-0.7106489445088788
cash_mode,mixed_model,3,train,39,12,1.0,0.0919092330324296,1.2208251837732145,-1.1289159507407849,-0.3531573103501877,-0.24757740982109977,0.38461538461538464,-1.642922879133468
cash_mode,mixed_model,3,validation,24,0,1.0,4.533457298360859,3.2415637612067236,1.2918935371541354,-0.1168213568437314,-0.1617839465479347,0.6666666666666666,1.3915841568000058
cash_mode,mixed_model,5,out_of_sample,32,7,1.0,0.19747254001039471,0.590013878393095,-0.39254133838270033,-0.20350296624126174,-0.1675447420399082,0.375,-0.6120472708652238
cash_mode,mixed_model,5,train,39,12,1.0,0.732197854546089,1.2208251837732145,-0.4886273292271255,-0.24519634952542868,-0.24757740982109977,0.4358974358974359,-0.7610713103292649
cash_mode,mixed_model,5,validation,24,0,1.0,4.79545106599657,3.2415637612067236,1.5538873047898463,-0.10584547903144381,-0.1617839465479347,0.625,1.6546963467269586
cash_mode,mixed_model,10,out_of_sample,32,7,1.0,0.24118168373002757,0.590013878393095,-0.3488321946630675,-0.2124219130639441,-0.1675447420399082,0.34375,-0.6018010207909557
cash_mode,mixed_model,10,train,39,12,1.0,0.6056733475276055,1.2208251837732145,-0.615151836245609,-0.2456479999635487,-0.24757740982109977,0.38461538461538464,-0.9141401438650141
cash_mode,mixed_model,10,validation,24,0,1.0,3.856381374157082,3.2415637612067236,0.6148176129503584,-0.12319348059069124,-0.1617839465479347,0.6666666666666666,0.7017639851023092
cash_mode,mixed_model,15,out_of_sample,32,7,1.0,0.3208835840632265,0.590013878393095,-0.26913029432986857,-0.20044004044004504,-0.1675447420399082,0.40625,-0.46688537520995865
